                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0471,                0.68648,                 1.0863,                0.77025,                0.38585,                0.44013,                 0.3128,                 1.1012,                0.81448,                 1.1406,               0.000104,               0.000104,               0.000104
                     82,                 1.0202,                0.68003,                 1.0713,                0.73345,                0.39035,                0.43963,                0.31246,                 1.1076,                0.82001,                  1.142,              9.905e-05,              9.905e-05,              9.905e-05
                     83,                 1.0174,                0.66939,                 1.0903,                0.73888,                0.39325,                0.44045,                 0.3131,                 1.1016,                0.81636,                 1.1379,               9.41e-05,               9.41e-05,               9.41e-05
                     84,                 1.0166,                0.67226,                 1.0715,                0.74763,                0.38816,                0.43923,                0.31362,                 1.0993,                0.81973,                 1.1396,              8.915e-05,              8.915e-05,              8.915e-05
                     85,                 1.0093,                0.66736,                 1.0752,                0.77898,                0.37907,                0.44017,                0.31403,                 1.0971,                0.81284,                  1.138,               8.42e-05,               8.42e-05,               8.42e-05
                     86,                 1.0146,                0.66412,                 1.0763,                0.74586,                0.38631,                0.43951,                0.31249,                 1.0988,                0.81842,                 1.1366,              7.925e-05,              7.925e-05,              7.925e-05
                     87,                 1.0219,                0.68276,                 1.0833,                0.72579,                0.39143,                0.43778,                 0.3121,                 1.0978,                0.81892,                 1.1366,               7.43e-05,               7.43e-05,               7.43e-05
                     88,                  1.023,                0.69245,                 1.0796,                0.75556,                0.38419,                0.43942,                0.31256,                 1.0958,                 0.8164,                 1.1375,              6.935e-05,              6.935e-05,              6.935e-05
                     89,                 1.0215,                0.67047,                 1.0816,                0.73602,                0.38691,                 0.4392,                0.31349,                 1.0995,                0.81413,                  1.139,               6.44e-05,               6.44e-05,               6.44e-05
                     90,                0.98691,                0.65384,                 1.0818,                0.74978,                0.38524,                0.43939,                0.31363,                 1.0967,                0.81705,                 1.1389,              5.945e-05,              5.945e-05,              5.945e-05
                     91,                 1.0327,                0.69633,                 1.0806,                0.75747,                0.37847,                0.43347,                0.30896,                 1.1063,                0.83373,                 1.1415,               5.45e-05,               5.45e-05,               5.45e-05
                     92,                 1.0013,                 0.6531,                 1.0762,                0.75557,                0.38347,                0.43637,                0.31115,                 1.0992,                0.82569,                 1.1407,              4.955e-05,              4.955e-05,              4.955e-05
                     93,                 0.9785,                0.67514,                 1.0737,                0.75014,                0.38702,                0.43708,                 0.3111,                 1.1009,                0.82079,                 1.1398,               4.46e-05,               4.46e-05,               4.46e-05
                     94,                 0.9979,                0.67705,                 1.0778,                  0.732,                 0.3898,                0.43841,                0.31341,                 1.0985,                 0.8206,                 1.1361,              3.965e-05,              3.965e-05,              3.965e-05
                     95,                0.99581,                0.66749,                 1.0792,                0.74569,                0.39114,                0.43904,                0.31448,                  1.099,                0.82012,                 1.1392,               3.47e-05,               3.47e-05,               3.47e-05
                     96,                 1.0069,                0.65244,                 1.0777,                0.75036,                0.38911,                0.43891,                0.31478,                 1.0989,                0.81969,                 1.1402,              2.975e-05,              2.975e-05,              2.975e-05
                     97,                0.98651,                0.67087,                 1.0964,                0.75719,                0.38979,                0.43972,                0.31493,                 1.1007,                0.81504,                 1.1397,               2.48e-05,               2.48e-05,               2.48e-05
                     98,                0.98565,                0.64028,                 1.0837,                0.76176,                0.38916,                0.43889,                0.31448,                 1.0994,                0.81353,                 1.1395,              1.985e-05,              1.985e-05,              1.985e-05
                     99,                0.98118,                0.63884,                 1.0768,                0.76422,                0.38695,                0.43894,                0.31395,                 1.1002,                0.81627,                 1.1386,               1.49e-05,               1.49e-05,               1.49e-05
                    100,                0.98113,                0.64945,                 1.0903,                0.77237,                0.38529,                0.43919,                0.31434,                  1.097,                0.81619,                 1.1381,               9.95e-06,               9.95e-06,               9.95e-06
