                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.3926,                 1.0106,                0.92163,                0.42115,                0.32255,                 0.3193,                0.18493,                 1.3618,                 1.0023,                0.91343,               0.005446,               0.005446,               0.005446
                     48,                 1.3928,                 1.0107,                0.92142,                0.42504,                0.31883,                  0.318,                0.18367,                  1.362,                0.99632,                0.91418,               0.005347,               0.005347,               0.005347
                     49,                  1.392,                 1.0024,                0.92069,                0.42399,                0.32073,                0.31748,                0.18243,                 1.3613,                0.99529,                0.91321,               0.005248,               0.005248,               0.005248
                     50,                 1.3948,                 1.0037,                0.91909,                0.42894,                0.31974,                0.32082,                0.18476,                  1.358,                0.99786,                0.91317,               0.005149,               0.005149,               0.005149
                     51,                 1.3907,                0.99673,                0.91819,                0.41975,                0.32054,                0.31902,                0.18426,                 1.3635,                0.99659,                0.91463,                0.00505,                0.00505,                0.00505
                     52,                 1.3768,                0.98961,                0.91931,                0.42731,                0.32109,                0.32009,                0.18511,                 1.3568,                0.99099,                0.91296,               0.004951,               0.004951,               0.004951
                     53,                 1.3832,                0.99156,                0.91726,                 0.4231,                0.32521,                0.32251,                0.18649,                 1.3559,                0.99125,                0.91265,               0.004852,               0.004852,               0.004852
                     54,                 1.3887,                0.99643,                0.91807,                0.41996,                0.32878,                0.32103,                0.18536,                 1.3505,                0.98962,                  0.912,               0.004753,               0.004753,               0.004753
                     55,                 1.3829,                0.99105,                0.91737,                0.42803,                0.32372,                0.31996,                0.18512,                 1.3504,                0.98804,                0.91287,               0.004654,               0.004654,               0.004654
                     56,                 1.3783,                0.98457,                 0.9168,                0.42652,                 0.3223,                0.32196,                0.18663,                  1.355,                0.98643,                0.91216,               0.004555,               0.004555,               0.004555
                     57,                 1.3778,                0.98421,                 0.9164,                0.42641,                0.32134,                0.32026,                0.18475,                 1.3543,                0.98763,                0.91062,               0.004456,               0.004456,               0.004456
                     58,                 1.3704,                0.97595,                0.91519,                0.43072,                0.32876,                0.32309,                0.18725,                 1.3494,                0.98496,                0.91019,               0.004357,               0.004357,               0.004357
                     59,                 1.3678,                 0.9771,                 0.9153,                0.41612,                0.33065,                0.32199,                 0.1867,                 1.3487,                0.98637,                0.91064,               0.004258,               0.004258,               0.004258
                     60,                 1.3692,                0.97293,                0.91548,                0.41714,                0.32708,                0.32245,                0.18819,                 1.3464,                0.98091,                0.90919,               0.004159,               0.004159,               0.004159
                     61,                 1.3681,                 0.9709,                0.91379,                0.42074,                0.32889,                0.32261,                0.18731,                 1.3473,                0.98228,                0.91008,                0.00406,                0.00406,                0.00406
                     62,                 1.3639,                0.97192,                0.91299,                  0.419,                0.33395,                0.32555,                0.18985,                 1.3415,                0.97802,                0.90926,               0.003961,               0.003961,               0.003961
                     63,                 1.3655,                0.96965,                0.91173,                0.42901,                0.32941,                0.32684,                0.18997,                 1.3408,                 0.9751,                0.90873,               0.003862,               0.003862,               0.003862
                     64,                 1.3742,                0.97329,                0.91307,                0.43486,                0.33065,                0.32867,                0.19159,                 1.3404,                0.97398,                0.90828,               0.003763,               0.003763,               0.003763
                     65,                  1.362,                0.96741,                0.91239,                 0.4315,                0.33092,                0.32651,                0.19024,                 1.3395,                0.97449,                0.90817,               0.003664,               0.003664,               0.003664
                     66,                  1.366,                0.96456,                0.91185,                0.43013,                0.33328,                0.32911,                0.19187,                 1.3418,                0.97182,                 0.9091,               0.003565,               0.003565,               0.003565
                     67,                 1.3609,                0.96316,                0.91296,                0.43411,                0.33316,                0.33029,                0.19196,                 1.3391,                0.97302,                0.90757,               0.003466,               0.003466,               0.003466
                     68,                 1.3566,                0.95586,                  0.911,                0.41579,                 0.3368,                0.32721,                0.19058,                 1.3374,                0.96751,                0.90848,               0.003367,               0.003367,               0.003367
                     69,                 1.3555,                0.95471,                0.91086,                0.43532,                0.33078,                0.32894,                0.19081,                 1.3355,                0.96811,                0.90835,               0.003268,               0.003268,               0.003268
                     70,                 1.3475,                0.94865,                0.90864,                0.42684,                0.33304,                 0.3269,                0.18981,                 1.3343,                0.97095,                0.90687,               0.003169,               0.003169,               0.003169
                     71,                 1.3516,                0.94853,                0.90843,                0.43049,                0.33789,                0.33103,                0.19196,                 1.3369,                0.96483,                0.90745,                0.00307,                0.00307,                0.00307
                     72,                 1.3413,                0.94529,                0.90935,                 0.4252,                0.33596,                0.32948,                0.19094,                 1.3357,                0.96609,                0.90728,               0.002971,               0.002971,               0.002971
                     73,                 1.3437,                0.94457,                0.90828,                0.43324,                0.33695,                0.33132,                0.19255,                 1.3355,                0.96488,                0.90666,               0.002872,               0.002872,               0.002872
                     74,                 1.3523,                0.94534,                0.90891,                0.42257,                0.33803,                0.33037,                0.19177,                 1.3377,                0.96506,                0.90756,               0.002773,               0.002773,               0.002773
                     75,                 1.3395,                0.94156,                0.90571,                0.43674,                0.33578,                 0.3321,                0.19276,                 1.3335,                0.96419,                0.90646,               0.002674,               0.002674,               0.002674
                     76,                 1.3445,                0.93895,                0.90674,                0.43573,                0.33332,                0.33031,                0.19145,                 1.3325,                0.96613,                0.90628,               0.002575,               0.002575,               0.002575
